case_id,fact_pattern,violence_score,financial_loss_score,victim_vulnerability_score,premeditation_score,public_safety_risk,priors,plea_guilty,mitigating_circumstances,juvenile,court_region,sentence_United States,sentence_United Kingdom,sentence_Canada,sentence_Australia,sentence_Singapore,sentence_India,sentence_Germany,sentence_France,sentence_Italy,sentence_Spain,sentence_Switzerland,sentence_Brazil,sentence_Norway,sentence_Sweden,sentence_Denmark,sentence_Japan,sentence_South Korea,sentence_Saudi Arabia,sentence_Iran,sentence_South Africa
13,The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe.,0.0,0.087,0.0,0.159,0.066,0,1,1,0,0,8.2,5.7,3.3,4.4,16.0,4.8,5.2,3.6,3.6,3.9,2.9,3.7,1.7,1.8,1.6,2.0,3.3,12.8,12.9,7.6
14,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.261,0.0,0.004,0.0,0.068,1,1,0,0,0,37.2,24.6,22.0,17.3,67.0,15.2,17.2,18.3,14.0,14.3,12.2,17.2,9.7,11.4,11.4,8.0,13.9,49.9,49.1,32.0
15,"The perpetrator shot the victim in the chest at close range following a dispute, causing fatal injuries.",1.0,0.035,0.167,0.499,0.871,0,0,0,1,1,71.5,48.8,43.7,46.5,172.5,64.5,41.2,40.8,40.9,35.4,23.0,56.6,16.1,16.7,21.0,29.8,34.7,132.3,142.7,73.5
16,"The offender chose a victim who was highly intoxicated and unable to stand or speak clearly. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult. The offender was found in possession of 200 grams of cocaine, scales, and packaging materials indicating distribution.",0.38,0.247,0.708,0.504,0.775,0,1,0,0,0,99.8,74.9,54.9,78.9,169.3,61.4,66.3,62.7,49.5,54.1,41.4,53.8,31.6,31.3,34.8,30.9,44.7,138.0,134.2,87.3
17,"The perpetrator shot the victim in the chest at close range following a dispute, causing fatal injuries. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia.",1.0,0.0,0.862,0.539,0.875,1,1,0,0,1,166.6,130.7,109.9,106.9,362.6,187.3,94.5,97.6,75.4,89.1,75.1,146.1,59.4,59.2,61.2,48.3,81.3,241.9,241.2,157.5
18,"The defendant attacked the victim with a metal pipe during an argument, resulting in a deep head wound. The offender stole a bicycle valued at $300 parked outside a supermarket. The offender chose a victim who was highly intoxicated and unable to stand or speak clearly.",0.763,0.115,0.696,0.343,0.544,0,1,0,0,0,121.3,96.5,68.6,75.5,207.0,82.3,69.1,66.2,53.7,54.8,48.4,73.8,41.2,42.2,46.6,33.0,57.0,169.5,200.4,94.7
19,"The defendant discharged an assault rifle into the air in a crowded public square, causing mass panic. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim.",0.638,0.038,0.287,0.816,0.983,2,1,1,0,0,188.0,100.3,65.2,85.5,366.4,110.3,77.0,89.6,65.3,62.2,41.9,80.9,27.7,38.6,36.9,29.5,45.4,305.8,229.5,175.4
20,The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe.,0.043,0.05,0.038,0.176,0.089,2,0,0,0,1,27.8,20.9,16.7,18.5,52.0,30.5,14.9,15.1,14.2,15.0,10.6,14.8,5.9,7.4,6.8,11.5,15.6,34.5,35.9,27.4
21,"The offender stole a bicycle valued at $300 parked outside a supermarket. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim.",0.641,0.115,0.159,0.842,0.378,0,1,1,0,1,103.0,63.9,42.1,50.7,166.4,95.7,37.0,40.1,36.4,30.6,24.4,38.3,18.4,21.7,23.6,17.2,32.6,94.9,89.1,70.3
22,The suspect sold fake pharmaceutical pills containing toxic contaminants to local drug users.,0.261,0.445,0.719,0.665,0.854,0,1,0,0,1,93.8,67.1,47.7,60.7,173.0,118.5,63.0,55.2,44.5,47.5,41.9,77.5,29.7,33.1,31.1,29.6,47.8,119.0,114.2,81.0
23,"The crime targeted a 7-year-old child who was walking home alone from school. The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years.",0.085,0.756,0.987,0.847,0.325,3,0,0,0,0,360.0,188.3,126.2,159.8,373.7,164.2,140.6,135.7,110.2,111.6,80.8,91.5,43.9,57.4,53.9,99.7,119.7,309.3,360.0,251.7
24,"The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult. The defendant took advantage of their role as a live-in nurse to abuse and steal from a bedridden patient.",0.428,0.741,0.917,0.824,0.175,0,1,0,0,1,96.3,66.6,57.2,71.0,160.1,82.6,65.7,59.8,61.6,62.5,48.7,93.6,35.3,34.8,40.0,36.5,49.6,149.7,123.1,84.9
25,"The suspect broke into a commercial warehouse and stole electronics worth approximately $5,000.",0.096,0.331,0.13,0.473,0.152,0,1,1,1,1,19.0,11.1,6.4,8.4,35.9,11.3,6.9,7.7,6.6,6.1,4.0,9.4,2.1,2.3,2.7,3.3,5.3,31.7,37.7,17.0
26,"The perpetrator shot the victim in the chest at close range following a dispute, causing fatal injuries. The defendant ran a sophisticated Ponzi scheme, defrauding elderly investors of over $2.5 million.",1.0,0.933,0.753,0.938,0.876,1,1,0,0,1,194.5,175.4,129.9,157.2,424.1,157.3,123.0,139.8,108.2,109.9,98.9,130.0,69.5,69.3,71.3,68.0,98.7,325.3,360.0,212.3
27,The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe.,0.011,0.091,0.0,0.208,0.025,2,0,1,0,0,33.4,13.2,11.0,14.1,27.5,11.0,10.1,8.3,9.3,8.2,5.3,8.7,2.9,3.3,3.1,6.0,7.2,25.2,26.2,16.8
28,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises. The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years.",0.342,0.762,0.316,0.762,0.24,1,1,0,0,0,152.1,112.1,79.7,75.6,221.3,88.7,63.3,65.3,47.6,60.3,48.4,86.4,33.4,35.4,36.2,31.1,56.7,214.3,137.3,137.4
29,"The defendant ran a sophisticated Ponzi scheme, defrauding elderly investors of over $2.5 million. The perpetrator wore a ski mask and dark clothing to conceal their identity and avoid CCTV detection.",0.118,0.99,0.812,0.88,0.405,0,1,0,0,1,96.0,64.9,64.5,81.4,165.8,111.4,62.1,56.2,52.6,50.1,44.1,67.3,30.8,32.3,32.5,31.6,49.1,125.6,121.4,99.8
30,"The defendant ran a sophisticated Ponzi scheme, defrauding elderly investors of over $2.5 million. The perpetrator wore a ski mask and dark clothing to conceal their identity and avoid CCTV detection. The crime targeted a 7-year-old child who was walking home alone from school.",0.101,0.979,0.996,0.924,0.416,0,1,1,0,0,111.9,55.1,54.9,64.2,167.0,103.7,46.6,41.7,34.5,47.8,32.0,50.3,19.5,20.6,24.4,22.1,36.3,166.4,146.1,85.4
31,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.265,0.0,0.048,0.011,0.127,1,1,0,0,1,31.7,25.4,24.3,24.6,77.7,29.1,17.7,19.5,14.9,18.1,12.4,27.7,11.1,11.5,11.5,8.2,15.4,49.6,38.1,27.5
32,"The defendant ran a sophisticated Ponzi scheme, defrauding elderly investors of over $2.5 million. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult. The crime targeted a 7-year-old child who was walking home alone from school.",0.416,0.901,0.975,0.927,0.361,0,0,1,0,0,161.2,134.6,78.6,77.7,219.9,94.7,58.3,63.3,70.0,70.5,51.3,86.5,28.0,30.4,37.1,51.2,59.9,195.8,187.5,120.2
33,"The offender was found in possession of 200 grams of cocaine, scales, and packaging materials indicating distribution.",0.062,0.163,0.096,0.503,0.756,0,1,0,0,1,42.6,32.7,29.4,29.1,110.1,54.5,30.7,34.4,18.6,28.9,22.1,26.8,14.9,15.1,14.2,15.0,22.5,94.9,72.9,60.3
34,"The offender stole a bicycle valued at $300 parked outside a supermarket. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult. The defendant discharged an assault rifle into the air in a crowded public square, causing mass panic.",0.527,0.082,0.313,0.377,0.908,0,1,0,0,0,107.7,59.8,54.7,63.9,172.3,90.2,56.2,54.5,47.7,50.9,38.6,66.5,29.8,33.7,34.4,28.7,46.0,118.8,144.1,90.3
35,"The suspect broke into a commercial warehouse and stole electronics worth approximately $5,000. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult.",0.421,0.306,0.091,0.504,0.192,0,1,1,0,0,59.0,45.2,30.2,29.9,92.9,48.0,27.0,31.9,20.8,30.0,19.4,31.5,12.9,15.6,15.3,14.0,21.4,97.6,85.9,52.3
36,"The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim. A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises. The defendant ran a sophisticated Ponzi scheme, defrauding elderly investors of over $2.5 million.",0.604,0.973,0.83,0.94,0.399,0,1,0,0,1,132.9,78.2,74.6,96.1,230.4,138.4,87.6,84.7,64.0,69.3,62.2,88.8,45.9,42.6,50.0,45.7,69.1,233.6,230.2,149.8
37,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.342,0.048,0.003,0.041,0.109,1,0,0,0,0,58.2,42.3,34.1,40.4,100.6,36.7,32.6,28.3,28.3,26.3,21.2,28.2,15.9,19.3,17.4,29.8,28.4,80.2,63.2,59.4
38,"The suspect pointed a loaded handgun at the store clerk, demanding money and threatening to pull the trigger. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult.",0.834,0.238,0.178,0.645,0.692,2,1,1,0,1,176.9,106.6,104.3,88.9,413.4,115.0,74.4,88.3,56.3,75.1,47.9,83.9,32.3,38.8,38.2,26.8,48.3,234.3,232.5,160.1
39,"The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years.",0.015,0.775,0.345,0.77,0.152,0,0,1,0,0,89.7,47.2,42.1,49.5,110.8,65.9,40.4,32.9,36.6,29.9,23.5,38.6,12.9,13.8,13.0,28.4,30.7,114.0,94.8,63.2
40,"The offender stole a bicycle valued at $300 parked outside a supermarket. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim. The crime targeted a 7-year-old child who was walking home alone from school.",0.611,0.126,0.972,0.878,0.366,0,1,1,0,1,100.8,57.0,51.6,51.5,175.2,78.9,49.1,45.0,44.3,39.3,31.6,55.9,24.0,25.0,27.1,19.0,36.1,151.5,128.6,94.4
41,"The suspect broke into a commercial warehouse and stole electronics worth approximately $5,000. The suspect planned the heist for over six months, purchasing specialized tools, drawing maps, and tracking guards. The crime targeted a 7-year-old child who was walking home alone from school.",0.06,0.377,0.985,0.96,0.362,5,1,0,0,1,223.3,156.9,135.5,113.5,390.5,240.0,130.6,117.1,77.5,91.9,64.2,103.9,39.6,44.0,43.1,53.6,97.0,223.6,262.6,186.8
42,"The perpetrator shot the victim in the chest at close range following a dispute, causing fatal injuries. The offender chose a victim who was highly intoxicated and unable to stand or speak clearly.",1.0,0.061,0.746,0.514,0.933,2,1,1,1,1,113.4,54.5,34.6,45.0,283.3,71.8,36.6,57.3,30.3,31.4,18.8,45.8,11.2,14.5,17.3,13.9,23.4,213.6,190.1,95.5
43,"The suspect sold fake pharmaceutical pills containing toxic contaminants to local drug users. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim.",0.582,0.375,0.743,0.828,0.895,2,1,1,0,1,212.5,93.6,100.9,118.0,393.8,135.2,84.3,87.6,68.9,83.5,49.4,88.1,30.5,36.4,37.5,37.9,55.2,266.1,243.9,186.2
44,"The offender stole a bicycle valued at $300 parked outside a supermarket. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim. The suspect pointed a loaded handgun at the store clerk, demanding money and threatening to pull the trigger.",0.828,0.21,0.238,0.856,0.702,0,0,0,0,0,275.3,131.0,102.1,129.8,286.5,196.4,103.7,86.0,97.5,98.8,71.9,105.1,52.7,55.8,57.9,84.0,86.2,221.0,228.9,139.9
45,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.295,0.0,0.0,0.0,0.074,1,1,0,0,1,36.9,22.3,19.8,23.9,64.2,31.8,16.6,19.9,15.3,19.1,13.2,23.1,11.2,12.9,12.2,9.0,14.5,49.5,42.5,32.3
46,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises. The offender stole a bicycle valued at $300 parked outside a supermarket. The crime targeted a 7-year-old child who was walking home alone from school.",0.262,0.049,0.912,0.304,0.326,0,0,0,0,1,90.1,55.5,50.9,50.1,145.8,56.9,46.2,47.0,50.7,43.7,33.7,69.8,23.2,22.2,26.7,38.8,41.1,99.8,83.0,66.4
47,"The defendant attacked the victim with a metal pipe during an argument, resulting in a deep head wound. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia.",0.821,0.0,0.855,0.805,0.479,4,1,1,0,0,281.3,177.8,127.5,134.2,480.0,121.4,97.1,110.3,85.9,96.7,63.7,115.4,38.6,53.8,48.3,47.0,77.4,360.0,360.0,230.6
48,"The defendant discharged an assault rifle into the air in a crowded public square, causing mass panic. The perpetrator wore a ski mask and dark clothing to conceal their identity and avoid CCTV detection.",0.484,0.147,0.275,0.736,0.911,0,1,0,0,0,115.7,87.2,64.3,71.1,200.1,115.8,60.0,70.4,49.0,48.2,43.2,57.5,34.4,32.7,33.7,28.3,47.6,107.5,109.2,111.5
49,The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe.,0.0,0.065,0.006,0.192,0.06,1,1,0,0,1,14.8,9.0,6.6,7.6,24.1,9.9,8.9,7.9,5.6,6.5,4.9,6.2,2.9,3.0,2.8,3.7,6.8,19.3,14.3,13.5
50,"The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia. The defendant attacked the victim with a metal pipe during an argument, resulting in a deep head wound. The offender was found in possession of 200 grams of cocaine, scales, and packaging materials indicating distribution.",0.776,0.158,0.874,0.505,0.716,0,1,0,0,1,135.7,95.1,75.4,72.1,243.1,136.6,80.5,77.7,63.7,61.5,58.4,90.1,47.3,42.0,50.2,38.7,56.0,158.7,148.3,122.5
51,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.257,0.0,0.0,0.029,0.109,2,0,0,0,0,81.0,41.7,31.9,45.5,109.7,41.7,28.2,27.6,27.3,23.8,18.8,23.5,14.3,16.0,15.2,23.6,21.4,56.1,65.8,57.0
52,"The defendant attacked the victim with a metal pipe during an argument, resulting in a deep head wound. The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years. The defendant took advantage of their role as a live-in nurse to abuse and steal from a bedridden patient.",0.81,0.782,0.942,0.794,0.497,0,1,0,0,1,175.4,98.3,102.7,95.1,249.5,187.5,98.2,78.5,82.2,88.4,64.0,113.3,51.5,53.2,51.2,45.0,72.3,256.7,211.1,134.6
53,"The perpetrator shot the victim in the chest at close range following a dispute, causing fatal injuries. The perpetrator wore a ski mask and dark clothing to conceal their identity and avoid CCTV detection.",1.0,0.053,0.173,0.717,0.936,1,0,1,0,0,309.0,111.9,121.4,102.9,397.6,103.1,83.2,95.4,86.8,88.9,57.1,103.5,38.3,40.8,47.5,59.4,65.2,257.0,319.9,199.2
54,"The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim. The offender was found in possession of 200 grams of cocaine, scales, and packaging materials indicating distribution.",0.65,0.194,0.231,0.897,0.747,0,1,0,0,1,95.9,74.2,65.7,87.5,219.9,125.1,74.1,66.7,51.4,57.4,47.3,77.6,38.2,37.9,40.7,34.1,53.2,116.5,162.5,112.3
55,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.331,0.005,0.0,0.0,0.082,4,1,0,1,1,45.7,12.6,17.6,15.3,86.6,18.1,14.0,16.5,10.6,14.0,7.8,18.1,5.4,6.0,6.9,6.1,11.6,63.9,66.7,35.1
56,"The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult. The defendant took advantage of their role as a live-in nurse to abuse and steal from a bedridden patient.",0.412,0.75,0.894,0.755,0.177,0,1,1,0,0,119.2,72.7,55.4,49.8,178.6,53.2,50.6,43.4,40.7,43.9,32.3,54.6,22.6,24.6,23.2,23.3,39.3,124.9,152.2,90.9
57,The offender stole a bicycle valued at $300 parked outside a supermarket.,0.021,0.061,0.0,0.091,0.022,2,0,1,0,0,18.8,11.9,6.8,8.1,22.6,8.6,5.7,4.9,6.7,5.2,3.3,4.6,1.9,2.2,2.4,4.3,4.5,25.8,19.7,11.2
58,"The offender stole a bicycle valued at $300 parked outside a supermarket. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim. The offender chose a victim who was highly intoxicated and unable to stand or speak clearly.",0.633,0.148,0.674,0.855,0.388,3,1,1,0,1,146.0,146.4,74.8,80.0,421.5,240.0,90.1,88.1,66.5,74.4,50.8,96.9,31.2,36.5,34.7,31.4,48.5,243.2,206.7,135.3
59,"The defendant took advantage of their role as a live-in nurse to abuse and steal from a bedridden patient. The defendant discharged an assault rifle into the air in a crowded public square, causing mass panic. The perpetrator shot the victim in the chest at close range following a dispute, causing fatal injuries.",1.0,0.216,0.937,0.595,0.948,0,1,0,0,0,167.0,137.1,109.2,87.6,268.4,160.5,90.8,94.0,80.9,78.0,69.7,85.1,52.9,57.6,52.6,52.0,76.9,260.2,219.9,183.1
60,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.273,0.028,0.0,0.024,0.121,2,1,1,0,0,53.2,25.1,20.0,23.7,84.7,25.3,16.5,17.0,12.6,17.7,10.1,17.5,7.6,9.8,9.2,7.6,11.2,65.8,54.0,46.4
61,"The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult. The defendant took advantage of their role as a live-in nurse to abuse and steal from a bedridden patient.",0.437,0.787,0.894,0.803,0.196,2,1,1,0,1,150.9,101.1,81.8,90.0,292.6,125.7,74.1,73.3,63.4,75.2,43.6,73.1,27.7,38.6,30.4,33.6,58.6,209.2,234.6,167.8
62,"The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim. The suspect sold fake pharmaceutical pills containing toxic contaminants to local drug users.",0.645,0.413,0.939,0.849,0.904,1,0,1,0,0,267.2,157.4,105.5,116.1,386.2,106.5,99.0,87.4,97.6,80.7,61.8,113.0,34.5,45.0,46.9,61.4,91.8,298.7,236.3,182.1
63,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.326,0.02,0.0,0.0,0.08,0,1,0,0,1,28.7,20.5,18.9,16.6,51.3,20.9,16.6,15.2,12.5,16.2,13.5,22.4,10.2,11.0,12.8,8.4,15.4,44.7,40.6,25.9
64,"The suspect broke into a commercial warehouse and stole electronics worth approximately $5,000. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult.",0.367,0.308,0.137,0.512,0.174,3,0,0,0,1,207.7,120.6,96.5,112.1,252.9,104.3,73.2,84.3,67.1,63.4,55.6,123.8,34.7,40.5,37.8,61.5,75.7,181.8,180.2,151.2
65,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.34,0.018,0.0,0.0,0.085,1,1,0,0,1,37.2,31.0,22.8,22.5,77.1,30.4,21.9,22.1,18.7,19.6,15.7,29.2,13.8,14.3,14.3,9.5,14.9,54.5,49.1,36.2
66,"The defendant ran a sophisticated Ponzi scheme, defrauding elderly investors of over $2.5 million.",0.0,0.938,0.786,0.88,0.42,0,1,0,0,0,96.1,69.9,56.6,63.7,147.6,50.9,56.4,55.4,41.5,52.8,43.9,66.2,26.2,30.7,26.8,30.6,45.2,136.8,116.9,91.2
67,The suspect sold fake pharmaceutical pills containing toxic contaminants to local drug users.,0.34,0.428,0.673,0.73,0.872,0,1,1,0,0,102.9,62.8,52.5,62.7,209.5,49.1,39.2,49.8,35.1,41.1,28.1,40.6,21.2,24.3,22.3,17.7,33.6,157.7,111.3,87.3
68,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.281,0.0,0.008,0.023,0.059,0,1,0,0,1,22.5,18.7,15.6,14.1,47.4,23.6,14.4,13.0,11.0,11.7,10.7,21.9,8.6,8.7,11.1,7.1,10.4,41.7,30.8,29.3
69,"The defendant discharged an assault rifle into the air in a crowded public square, causing mass panic.",0.476,0.032,0.298,0.431,0.975,0,0,1,0,0,133.5,74.9,69.2,59.4,225.3,75.2,54.1,51.1,48.7,43.2,31.8,48.3,23.7,24.0,23.9,34.7,36.4,119.7,152.2,83.1
70,"The suspect sold fake pharmaceutical pills containing toxic contaminants to local drug users. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia. The suspect pointed a loaded handgun at the store clerk, demanding money and threatening to pull the trigger.",0.854,0.395,0.917,0.717,0.908,2,1,0,0,0,272.5,193.1,164.3,171.9,480.0,162.9,129.7,168.8,105.8,120.1,102.4,150.0,69.3,84.0,69.8,74.3,109.7,360.0,360.0,263.2
71,"The defendant discharged an assault rifle into the air in a crowded public square, causing mass panic.",0.472,0.0,0.332,0.441,0.93,0,0,1,0,1,108.4,81.3,49.6,52.8,190.3,53.6,53.5,38.9,43.9,41.9,30.0,62.3,21.5,21.9,23.3,32.2,37.1,154.1,123.2,92.3
72,"The offender physically assaulted the victim by punching and kicking them multiple times, causing severe facial fractures. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult. The defendant took advantage of their role as a live-in nurse to abuse and steal from a bedridden patient.",0.717,0.224,0.945,0.592,0.424,0,1,0,0,1,113.5,91.7,72.4,63.3,208.0,101.9,68.2,72.7,61.4,60.9,52.3,101.7,40.3,47.9,43.6,32.0,59.4,167.9,173.0,117.5
73,"The offender physically assaulted the victim by punching and kicking them multiple times, causing severe facial fractures. The offender stole a bicycle valued at $300 parked outside a supermarket. The offender chose a victim who was highly intoxicated and unable to stand or speak clearly.",0.745,0.136,0.66,0.219,0.404,4,1,0,0,0,301.0,139.3,124.3,127.8,431.2,186.2,141.1,136.6,82.1,107.9,85.9,111.5,56.3,63.5,59.4,59.7,90.0,354.2,263.6,205.5
74,"The perpetrator shot the victim in the chest at close range following a dispute, causing fatal injuries. The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia.",1.0,0.724,0.863,0.806,0.857,2,0,0,0,1,360.0,240.0,240.0,227.0,480.0,240.0,177.7,167.2,153.9,197.5,127.9,302.9,86.8,98.0,105.1,172.9,200.0,360.0,360.0,300.0
75,"The defendant discharged an assault rifle into the air in a crowded public square, causing mass panic. The defendant attacked the victim with a metal pipe during an argument, resulting in a deep head wound.",0.849,0.004,0.33,0.361,0.987,0,1,1,0,0,124.5,65.6,51.2,60.5,220.8,66.1,53.5,53.6,43.0,50.6,30.8,54.4,23.9,24.9,28.6,21.9,41.3,180.5,134.0,119.0
